,date,rating,title,review
4,май 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков",Трафальгарская площадь – воспоминания о юности,"И вот, я стою на этой площади и не могу в это поверить! Кто бы мог подумать до начала преобразований в СССР и России, что такое может случиться? А, тем более, пятьдесят с лишним лет назад, когда я подростком впервые услышал Битлз и «подсел» на все английское. Когда я начал изучение языка и первые «топики» и в школе, и на курсах были о Лондоне. У меня был топик о Трэфэлдже Скуэа…Как магически привлекательно звучало это имя! Как будто, я действительно готовился к поездке в Лондон, совершенно в это не веря."
5,июль 2017 г. • Для двоих,"4,0 из 5 кружков",Место притяжения,"Центральная площадь города. Названа в честь исторической победы адмирала Нельсона над франко-испанским флотом в 1805 году. Место очень важное для каждого лондонца, здесь в 1945 году Черчиль объявил об окончании Второй Мировой войны, здесь проходят народные гуляния и митинги, здесь зимой стоит главная новогодняя ёлка. В центре установлена высокая колонна увенчанная скульптурой адмирала. Рядом знаменитые фигуры львов, на которых много желающих забраться. Место спокойное с хорошей энергетикой и вполне человечное, без пафоса."
6,июль 2017 г. • Семейный отдых,"3,0 из 5 кружков",Несколько раз проходили через площадь...,"Несколько раз проходили через площадь, но так не на чем взгляд не остановился. Ну, пожалуй. на цветочных клумбах, да на красивых воротах в Green Park. Огромная площадь с интенсивным автомобильным движением, по большей части огороженная временными ограждениями. Приходится обходит кругами. Букингемский дворец на площади, как и вся остальная архитектура Лондона, скучен. Расстояние о гвардейцев приличное, так что рассмотреть их не удастся. На самой площади особенно делать нечего."
7,март 2017 г. • Для двоих,"5,0 из 5 кружков",Очень красиво!,"Не побывать здесь просто нельзя, все пути в Лондоне проходят через эту прекрасную площадь. Можно, оказывается, жить без мавзолеев :)! Отчет выложил на фото."
8,дек. 2016 г. • Для двоих,"4,0 из 5 кружков",Main tourist squire in London,"Самая популярная у туристов площадь в Лондоне,на которую я люблю приходить перед Рождеством посмотреть на главную елку Лондона.До начала XIX века на этом месте находились королевские конюшни. Король Эдуард I принял решение разобрать конюшни и построить на этом месте площадь, изначально площадь носила его имя.Архитектор Чарльз Бери разработал проект площади, ее тематика была посвящена победе английского флота в 1805 году в бою у мыса Трафальгар.Поэтому памятник Нельсону здесь поставили абсолютно логично.А совсем недавно нигерийский скульптор установил здесь на пьедестале и модель его флагманского корабля,на котором он был смертельно ранен.Обязательное место для посещения в Лондоне."
9,февр. 2017 г. • Для двоих,"5,0 из 5 кружков",Круговорот людей и эмоций,"На этой площади с утра до вечера движуха: люди, артисты, машины на дорогах, вспышки фотоаппаратов. Рдом музеи и недолеко Биг Бен (10 мин.)"
0,февр. 2020 г. • С друзьями,"5,0 из 5 кружков",Красотааа)),"Очень красивое место) правда я была зимой и фонтаны не работали, но тем не менее фото осень красивые. Рядом национальная галерея, соборы и с площади видно биг бен, который на реставрации до августа 2021 года. С площади можно пойти в сторону Темзы и посмотреть архитектуру Лондона. Все очень атмосферно) Советую к посещению)"
1,янв. 2020 г. • Для двоих,"5,0 из 5 кружков",Рождественская ель 2020,"Трафольгарская площадь - Главная елка Великобритании.  С 1947 Норвегия преподносит ель а память поры послевоенных лишений, когда в городской казне не было денег на большое праздничное дерево. Мне ёлка понравилась, скромная, естественная, только огоньки на ней. Вестминстерский совет заявил, что ель, высота которой составляет 21 метр, - это щедрый подарок Лондону от жителей Осло. Посол в Норвегии прокомментировал ""Именно так и должно выглядеть 90-летнее дерево высотой в 25 метров в живой природе"".Ель была собственноручно спилена двумя женщинами - мэром Осло Марианной Борген и главой лондонского района Вестминстер Рут Буш."
2,сент. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",London is the capital of Great Britain,"Что можно сказать о Лондоне? Дорого и круто:) Но, в свою очередь, есть очень много крутых мест с бесплатным входом.Советую к посещению National Gallery и British Museum (если вы хотите посмотреть на динозавров - Museum of Natural History, а любителям современного искусства дорога в Tate Modern). Сходите на Ноттинг Хил, прогуляйтесь по знаменитому Hyde Park. Из платного - загляните в Westminster Abbey."
3,май 2019 г. • Бизнес,"5,0 из 5 кружков",Насыщенное достопримечательностями и людьми место),"Очень оживленная площадь, масса красивых скульптур и зданий, и разнообразные кафе и пабы в округе) ""Конные"" статуи расположены классически симметрично, но одна из них яркая египетская, а другая бронза - в этом сочетании традиций и оригинальности весь лондонский характер)"
4,сент. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",Главная площадь Лондона,"Здесь на сайте всю площадь ""разобрали"" на составляющие и её компоненты. есть отдельно и колонна Нельсона и статуи другим известным личностям и отдельно львам (и даже в снегу!). Площадь, безусловно очень красивая и многогранная во всех смыслах. Описывать её в очередной раз просто нет никакого смысла. Трафальгарскую площадь нужно увидеть собственными глазами! Must see!"
5,май 2019 г. • Путешествие в одиночку,"5,0 из 5 кружков",Все со смыслом ,"Чудесная площадь в центре Лондона, откуда уходят автобусы во все концы города, рядом с вокзалом Чаринг-Кросс. Не поленитесь и прочтите в путеводителе, что находится на площади и вокруг нее, это прямо вся история Британии за последние 400 лет. И обратите внимание на историю с памятником казненному Карлу I. А ещё прикольная штука с четвёртым постаментом на площади. Но - это уже сами.... Удачи и маст си ин Ландон! "
6,февр. 2019 г. • С друзьями,"5,0 из 5 кружков",Нужно побывать здесь!,"Один  из достопримечательностей Лондона-это конечно Трафальгар Сквер. Величественные фигуры Львов, фонтан, множество туристов и конечно же бродячие музыканты и художники-вся это веселая кутерьма оставит у вас тёплые и приятные впечатления"
7,дек. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",Finally at Trafalgar Square!!!,"Так сложилось, что, вдоволь поколесив по миру, в доброй старой Англии оказался впервые. И вот я на Трафальгарской площади. Прямо из Хитроу, даже не заселившись еще в отель.У всех - по-разному. Для меня Трафальгарская площадь и колонна Нельсона всегда входили в топ-5 символов Лондона. И хотя я знал о ней всё (ну, почти всё), хотя знал, как она выглядит (сколько топиков было выучено и отвечено на экзаменах), все равно впечатлило. Весьма.Рассказывать не буду: вряд ли мне удастся прибавить хоть что-то к гигабайтам информации, доступной об этом месте."
8,март 2018 г.,"3,0 из 5 кружков",На трафальгарской,"С детства столько про нее слышала - на деле оказалось ничего примечательного. Площадь как площадь. В центре музей, рядом пара статуй коней)) Сходить конечно стоит только потому что очень известное место, но в целом ничего особенного."
9,март 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков",А Вы видали снежных львов?,"Думаю, что вряд ли у кого-то из нас остались фото, которые я прилагаю. Британский лев в снежной ауре на Трафальгарской площади - это прикольно. Я  не прав??"
0,окт. 2017 г. • Путешествие в одиночку,"4,0 из 5 кружков","Просто площадь, по своему красива.","Днем очень многолюдно, для хороших фото приходите пораньше, дождь застанет- по галлерее можно прогуляться, много циркачей уличных и попрошаек, для любителей посидеть- захватите, тёплые вещи, чтобы на них сидеть- скамейки из камня."
1,авг. 2017 г. • Для двоих,"4,0 из 5 кружков",Сердце Лондона,"Думаю, не очень ошибусь, если назову Трафальгарскую площадь сердцем Лондона. Мы были в Лондоне всего пять дней, но через площадь проходили несколько раз.Приятно было увидеть то, о чем много слышал и видел по ТВ.Как мы поняли, на постаменте в левом дальнем углу площади (если стоять спиной к Букингемскому дворцу) скульптуры меняются. При нас стоял Скелет лошади. К чему, мы так и не поняли.... На фото видели на этом месте другие скульптуры.Запоминающееся место!"
2,окт. 2017 г. • С друзьями,"4,0 из 5 кружков",Обычная площадь с необычной атмосферой,"Трафальгарская площадь сама по себе ничем не примечательна. Ее нельзя назвать супер-красивой. Здесь очень активное движение транспорта и людей. Но вечерами здесь бывает довольно интересно, особенно в праздники. Здесь выступают различные артисты, развлекающие толпы людей, проводятся разные мероприятия"
3,сент. 2017 г. • Для двоих,"5,0 из 5 кружков",Площадь с памятником Нельсону,В центре Лондона расположена Трафальгарская площадь. На площади установлена колонна со статуей Нельсона наверху.
4,май 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков",Трафальгарская площадь – воспоминания о юности,"И вот, я стою на этой площади и не могу в это поверить! Кто бы мог подумать до начала преобразований в СССР и России, что такое может случиться? А, тем более, пятьдесят с лишним лет назад, когда я подростком впервые услышал Битлз и «подсел» на все английское. Когда я начал изучение языка и первые «топики» и в школе, и на курсах были о Лондоне. У меня был топик о Трэфэлдже Скуэа…Как магически привлекательно звучало это имя! Как будто, я действительно готовился к поездке в Лондон, совершенно в это не веря."
5,июль 2017 г. • Для двоих,"4,0 из 5 кружков",Место притяжения,"Центральная площадь города. Названа в честь исторической победы адмирала Нельсона над франко-испанским флотом в 1805 году. Место очень важное для каждого лондонца, здесь в 1945 году Черчиль объявил об окончании Второй Мировой войны, здесь проходят народные гуляния и митинги, здесь зимой стоит главная новогодняя ёлка. В центре установлена высокая колонна увенчанная скульптурой адмирала. Рядом знаменитые фигуры львов, на которых много желающих забраться. Место спокойное с хорошей энергетикой и вполне человечное, без пафоса."
6,июль 2017 г. • Семейный отдых,"3,0 из 5 кружков",Несколько раз проходили через площадь...,"Несколько раз проходили через площадь, но так не на чем взгляд не остановился. Ну, пожалуй. на цветочных клумбах, да на красивых воротах в Green Park. Огромная площадь с интенсивным автомобильным движением, по большей части огороженная временными ограждениями. Приходится обходит кругами. Букингемский дворец на площади, как и вся остальная архитектура Лондона, скучен. Расстояние о гвардейцев приличное, так что рассмотреть их не удастся. На самой площади особенно делать нечего."
7,март 2017 г. • Для двоих,"5,0 из 5 кружков",Очень красиво!,"Не побывать здесь просто нельзя, все пути в Лондоне проходят через эту прекрасную площадь. Можно, оказывается, жить без мавзолеев :)! Отчет выложил на фото."
8,дек. 2016 г. • Для двоих,"4,0 из 5 кружков",Main tourist squire in London,"Самая популярная у туристов площадь в Лондоне,на которую я люблю приходить перед Рождеством посмотреть на главную елку Лондона.До начала XIX века на этом месте находились королевские конюшни. Король Эдуард I принял решение разобрать конюшни и построить на этом месте площадь, изначально площадь носила его имя.Архитектор Чарльз Бери разработал проект площади, ее тематика была посвящена победе английского флота в 1805 году в бою у мыса Трафальгар.Поэтому памятник Нельсону здесь поставили абсолютно логично.А совсем недавно нигерийский скульптор установил здесь на пьедестале и модель его флагманского корабля,на котором он был смертельно ранен.Обязательное место для посещения в Лондоне."
9,февр. 2017 г. • Для двоих,"5,0 из 5 кружков",Круговорот людей и эмоций,"На этой площади с утра до вечера движуха: люди, артисты, машины на дорогах, вспышки фотоаппаратов. Рдом музеи и недолеко Биг Бен (10 мин.)"
0,февр. 2020 г. • С друзьями,"5,0 из 5 кружков",Красотааа)),"Очень красивое место) правда я была зимой и фонтаны не работали, но тем не менее фото осень красивые. Рядом национальная галерея, соборы и с площади видно биг бен, который на реставрации до августа 2021 года. С площади можно пойти в сторону Темзы и посмотреть архитектуру Лондона. Все очень атмосферно) Советую к посещению)"
1,янв. 2020 г. • Для двоих,"5,0 из 5 кружков",Рождественская ель 2020,"Трафольгарская площадь - Главная елка Великобритании.  С 1947 Норвегия преподносит ель а память поры послевоенных лишений, когда в городской казне не было денег на большое праздничное дерево. Мне ёлка понравилась, скромная, естественная, только огоньки на ней. Вестминстерский совет заявил, что ель, высота которой составляет 21 метр, - это щедрый подарок Лондону от жителей Осло. Посол в Норвегии прокомментировал ""Именно так и должно выглядеть 90-летнее дерево высотой в 25 метров в живой природе"".Ель была собственноручно спилена двумя женщинами - мэром Осло Марианной Борген и главой лондонского района Вестминстер Рут Буш."
2,сент. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",London is the capital of Great Britain,"Что можно сказать о Лондоне? Дорого и круто:) Но, в свою очередь, есть очень много крутых мест с бесплатным входом.Советую к посещению National Gallery и British Museum (если вы хотите посмотреть на динозавров - Museum of Natural History, а любителям современного искусства дорога в Tate Modern). Сходите на Ноттинг Хил, прогуляйтесь по знаменитому Hyde Park. Из платного - загляните в Westminster Abbey."
3,май 2019 г. • Бизнес,"5,0 из 5 кружков",Насыщенное достопримечательностями и людьми место),"Очень оживленная площадь, масса красивых скульптур и зданий, и разнообразные кафе и пабы в округе) ""Конные"" статуи расположены классически симметрично, но одна из них яркая египетская, а другая бронза - в этом сочетании традиций и оригинальности весь лондонский характер)"
4,сент. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",Главная площадь Лондона,"Здесь на сайте всю площадь ""разобрали"" на составляющие и её компоненты. есть отдельно и колонна Нельсона и статуи другим известным личностям и отдельно львам (и даже в снегу!). Площадь, безусловно очень красивая и многогранная во всех смыслах. Описывать её в очередной раз просто нет никакого смысла. Трафальгарскую площадь нужно увидеть собственными глазами! Must see!"
5,май 2019 г. • Путешествие в одиночку,"5,0 из 5 кружков",Все со смыслом ,"Чудесная площадь в центре Лондона, откуда уходят автобусы во все концы города, рядом с вокзалом Чаринг-Кросс. Не поленитесь и прочтите в путеводителе, что находится на площади и вокруг нее, это прямо вся история Британии за последние 400 лет. И обратите внимание на историю с памятником казненному Карлу I. А ещё прикольная штука с четвёртым постаментом на площади. Но - это уже сами.... Удачи и маст си ин Ландон! "
6,февр. 2019 г. • С друзьями,"5,0 из 5 кружков",Нужно побывать здесь!,"Один  из достопримечательностей Лондона-это конечно Трафальгар Сквер. Величественные фигуры Львов, фонтан, множество туристов и конечно же бродячие музыканты и художники-вся это веселая кутерьма оставит у вас тёплые и приятные впечатления"
7,дек. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",Finally at Trafalgar Square!!!,"Так сложилось, что, вдоволь поколесив по миру, в доброй старой Англии оказался впервые. И вот я на Трафальгарской площади. Прямо из Хитроу, даже не заселившись еще в отель.У всех - по-разному. Для меня Трафальгарская площадь и колонна Нельсона всегда входили в топ-5 символов Лондона. И хотя я знал о ней всё (ну, почти всё), хотя знал, как она выглядит (сколько топиков было выучено и отвечено на экзаменах), все равно впечатлило. Весьма.Рассказывать не буду: вряд ли мне удастся прибавить хоть что-то к гигабайтам информации, доступной об этом месте."
8,март 2018 г.,"3,0 из 5 кружков",На трафальгарской,"С детства столько про нее слышала - на деле оказалось ничего примечательного. Площадь как площадь. В центре музей, рядом пара статуй коней)) Сходить конечно стоит только потому что очень известное место, но в целом ничего особенного."
9,март 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков",А Вы видали снежных львов?,"Думаю, что вряд ли у кого-то из нас остались фото, которые я прилагаю. Британский лев в снежной ауре на Трафальгарской площади - это прикольно. Я  не прав??"
0,окт. 2017 г. • Путешествие в одиночку,"4,0 из 5 кружков","Просто площадь, по своему красива.","Днем очень многолюдно, для хороших фото приходите пораньше, дождь застанет- по галлерее можно прогуляться, много циркачей уличных и попрошаек, для любителей посидеть- захватите, тёплые вещи, чтобы на них сидеть- скамейки из камня."
1,авг. 2017 г. • Для двоих,"4,0 из 5 кружков",Сердце Лондона,"Думаю, не очень ошибусь, если назову Трафальгарскую площадь сердцем Лондона. Мы были в Лондоне всего пять дней, но через площадь проходили несколько раз.Приятно было увидеть то, о чем много слышал и видел по ТВ.Как мы поняли, на постаменте в левом дальнем углу площади (если стоять спиной к Букингемскому дворцу) скульптуры меняются. При нас стоял Скелет лошади. К чему, мы так и не поняли.... На фото видели на этом месте другие скульптуры.Запоминающееся место!"
2,окт. 2017 г. • С друзьями,"4,0 из 5 кружков",Обычная площадь с необычной атмосферой,"Трафальгарская площадь сама по себе ничем не примечательна. Ее нельзя назвать супер-красивой. Здесь очень активное движение транспорта и людей. Но вечерами здесь бывает довольно интересно, особенно в праздники. Здесь выступают различные артисты, развлекающие толпы людей, проводятся разные мероприятия"
3,сент. 2017 г. • Для двоих,"5,0 из 5 кружков",Площадь с памятником Нельсону,В центре Лондона расположена Трафальгарская площадь. На площади установлена колонна со статуей Нельсона наверху.
4,май 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков",Трафальгарская площадь – воспоминания о юности,"И вот, я стою на этой площади и не могу в это поверить! Кто бы мог подумать до начала преобразований в СССР и России, что такое может случиться? А, тем более, пятьдесят с лишним лет назад, когда я подростком впервые услышал Битлз и «подсел» на все английское. Когда я начал изучение языка и первые «топики» и в школе, и на курсах были о Лондоне. У меня был топик о Трэфэлдже Скуэа…Как магически привлекательно звучало это имя! Как будто, я действительно готовился к поездке в Лондон, совершенно в это не веря."
5,июль 2017 г. • Для двоих,"4,0 из 5 кружков",Место притяжения,"Центральная площадь города. Названа в честь исторической победы адмирала Нельсона над франко-испанским флотом в 1805 году. Место очень важное для каждого лондонца, здесь в 1945 году Черчиль объявил об окончании Второй Мировой войны, здесь проходят народные гуляния и митинги, здесь зимой стоит главная новогодняя ёлка. В центре установлена высокая колонна увенчанная скульптурой адмирала. Рядом знаменитые фигуры львов, на которых много желающих забраться. Место спокойное с хорошей энергетикой и вполне человечное, без пафоса."
6,июль 2017 г. • Семейный отдых,"3,0 из 5 кружков",Несколько раз проходили через площадь...,"Несколько раз проходили через площадь, но так не на чем взгляд не остановился. Ну, пожалуй. на цветочных клумбах, да на красивых воротах в Green Park. Огромная площадь с интенсивным автомобильным движением, по большей части огороженная временными ограждениями. Приходится обходит кругами. Букингемский дворец на площади, как и вся остальная архитектура Лондона, скучен. Расстояние о гвардейцев приличное, так что рассмотреть их не удастся. На самой площади особенно делать нечего."
7,март 2017 г. • Для двоих,"5,0 из 5 кружков",Очень красиво!,"Не побывать здесь просто нельзя, все пути в Лондоне проходят через эту прекрасную площадь. Можно, оказывается, жить без мавзолеев :)! Отчет выложил на фото."
8,дек. 2016 г. • Для двоих,"4,0 из 5 кружков",Main tourist squire in London,"Самая популярная у туристов площадь в Лондоне,на которую я люблю приходить перед Рождеством посмотреть на главную елку Лондона.До начала XIX века на этом месте находились королевские конюшни. Король Эдуард I принял решение разобрать конюшни и построить на этом месте площадь, изначально площадь носила его имя.Архитектор Чарльз Бери разработал проект площади, ее тематика была посвящена победе английского флота в 1805 году в бою у мыса Трафальгар.Поэтому памятник Нельсону здесь поставили абсолютно логично.А совсем недавно нигерийский скульптор установил здесь на пьедестале и модель его флагманского корабля,на котором он был смертельно ранен.Обязательное место для посещения в Лондоне."
9,февр. 2017 г. • Для двоих,"5,0 из 5 кружков",Круговорот людей и эмоций,"На этой площади с утра до вечера движуха: люди, артисты, машины на дорогах, вспышки фотоаппаратов. Рдом музеи и недолеко Биг Бен (10 мин.)"
0,февр. 2020 г. • С друзьями,"5,0 из 5 кружков",Красотааа)),"Очень красивое место) правда я была зимой и фонтаны не работали, но тем не менее фото осень красивые. Рядом национальная галерея, соборы и с площади видно биг бен, который на реставрации до августа 2021 года. С площади можно пойти в сторону Темзы и посмотреть архитектуру Лондона. Все очень атмосферно) Советую к посещению)"
1,янв. 2020 г. • Для двоих,"5,0 из 5 кружков",Рождественская ель 2020,"Трафольгарская площадь - Главная елка Великобритании.  С 1947 Норвегия преподносит ель а память поры послевоенных лишений, когда в городской казне не было денег на большое праздничное дерево. Мне ёлка понравилась, скромная, естественная, только огоньки на ней. Вестминстерский совет заявил, что ель, высота которой составляет 21 метр, - это щедрый подарок Лондону от жителей Осло. Посол в Норвегии прокомментировал ""Именно так и должно выглядеть 90-летнее дерево высотой в 25 метров в живой природе"".Ель была собственноручно спилена двумя женщинами - мэром Осло Марианной Борген и главой лондонского района Вестминстер Рут Буш."
2,сент. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",London is the capital of Great Britain,"Что можно сказать о Лондоне? Дорого и круто:) Но, в свою очередь, есть очень много крутых мест с бесплатным входом.Советую к посещению National Gallery и British Museum (если вы хотите посмотреть на динозавров - Museum of Natural History, а любителям современного искусства дорога в Tate Modern). Сходите на Ноттинг Хил, прогуляйтесь по знаменитому Hyde Park. Из платного - загляните в Westminster Abbey."
3,май 2019 г. • Бизнес,"5,0 из 5 кружков",Насыщенное достопримечательностями и людьми место),"Очень оживленная площадь, масса красивых скульптур и зданий, и разнообразные кафе и пабы в округе) ""Конные"" статуи расположены классически симметрично, но одна из них яркая египетская, а другая бронза - в этом сочетании традиций и оригинальности весь лондонский характер)"
4,сент. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",Главная площадь Лондона,"Здесь на сайте всю площадь ""разобрали"" на составляющие и её компоненты. есть отдельно и колонна Нельсона и статуи другим известным личностям и отдельно львам (и даже в снегу!). Площадь, безусловно очень красивая и многогранная во всех смыслах. Описывать её в очередной раз просто нет никакого смысла. Трафальгарскую площадь нужно увидеть собственными глазами! Must see!"
5,май 2019 г. • Путешествие в одиночку,"5,0 из 5 кружков",Все со смыслом ,"Чудесная площадь в центре Лондона, откуда уходят автобусы во все концы города, рядом с вокзалом Чаринг-Кросс. Не поленитесь и прочтите в путеводителе, что находится на площади и вокруг нее, это прямо вся история Британии за последние 400 лет. И обратите внимание на историю с памятником казненному Карлу I. А ещё прикольная штука с четвёртым постаментом на площади. Но - это уже сами.... Удачи и маст си ин Ландон! "
6,февр. 2019 г. • С друзьями,"5,0 из 5 кружков",Нужно побывать здесь!,"Один  из достопримечательностей Лондона-это конечно Трафальгар Сквер. Величественные фигуры Львов, фонтан, множество туристов и конечно же бродячие музыканты и художники-вся это веселая кутерьма оставит у вас тёплые и приятные впечатления"
7,дек. 2018 г. • Путешествие в одиночку,"5,0 из 5 кружков",Finally at Trafalgar Square!!!,"Так сложилось, что, вдоволь поколесив по миру, в доброй старой Англии оказался впервые. И вот я на Трафальгарской площади. Прямо из Хитроу, даже не заселившись еще в отель.У всех - по-разному. Для меня Трафальгарская площадь и колонна Нельсона всегда входили в топ-5 символов Лондона. И хотя я знал о ней всё (ну, почти всё), хотя знал, как она выглядит (сколько топиков было выучено и отвечено на экзаменах), все равно впечатлило. Весьма.Рассказывать не буду: вряд ли мне удастся прибавить хоть что-то к гигабайтам информации, доступной об этом месте."
8,март 2018 г.,"3,0 из 5 кружков",На трафальгарской,"С детства столько про нее слышала - на деле оказалось ничего примечательного. Площадь как площадь. В центре музей, рядом пара статуй коней)) Сходить конечно стоит только потому что очень известное место, но в целом ничего особенного."
9,март 2017 г. • Путешествие в одиночку,"5,0 из 5 кружков",А Вы видали снежных львов?,"Думаю, что вряд ли у кого-то из нас остались фото, которые я прилагаю. Британский лев в снежной ауре на Трафальгарской площади - это прикольно. Я  не прав??"
0,окт. 2017 г. • Путешествие в одиночку,"4,0 из 5 кружков","Просто площадь, по своему красива.","Днем очень многолюдно, для хороших фото приходите пораньше, дождь застанет- по галлерее можно прогуляться, много циркачей уличных и попрошаек, для любителей посидеть- захватите, тёплые вещи, чтобы на них сидеть- скамейки из камня."
